month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
01-01,146,4.8,2023,-21.3,2003,3.2,1937,-24.0,2003,2.9,1937,-27.7,1941,11.4,1984
01-02,146,4.8,2018,-18.5,1942,3.6,2018,-23.0,1942,2.2,2020,-28.6,1941,8.8,2013
01-03,146,5.7,1988,-18.0,2003,4.4,2020,-22.2,2024,3.7,2020,-25.4,2002,14.5,1966
01-04,146,5.7,1988,-22.1,2024,4.9,1988,-23.6,2024,3.9,1988,-25.3,2024,13.4,1899
01-05,146,5.0,1937,-24.5,1950,3.6,1988,-27.1,1950,3.0,2018,-28.9,1950,13.5,1959
01-06,146,5.2,1937,-24.7,1950,3.2,1937,-26.2,1950,2.2,1937,-28.4,1987,14.5,1970
01-07,146,6.0,1983,-25.8,1987,4.4,1983,-27.3,1987,2.2,1983,-29.2,1987,11.0,1957
01-08,146,5.6,2014,-25.4,1987,4.1,2005,-29.3,1987,2.6,"1930, 2020",-31.4,1987,15.7,2014
01-09,146,5.6,"2005, 2007, 2014",-28.5,1987,4.8,2007,-30.8,1987,3.4,2007,-33.0,1987,11.7,2005
01-10,146,8.7,2007,-32.0,1987,6.3,2007,-33.6,1987,4.2,2007,-34.7,1987,12.8,2014
01-11,146,5.7,1993,-30.4,1987,3.1,2005,-31.9,1987,1.6,1910,-35.9,1883,16.5,2007
01-12,146,5.1,2009,-30.4,1987,3.2,2008,-33.1,1987,2.5,2008,-34.2,1987,15.3,1993
01-13,146,5.0,2009,-20.0,1893,4.1,2005,-28.0,1968,3.3,2005,-34.0,1987,14.5,2011
01-14,146,4.2,2005,-22.9,1942,3.2,2009,-27.3,1893,2.4,2020,-31.0,1968,7.6,1983
01-15,146,7.6,2020,-27.1,1893,4.7,2020,-29.3,1893,2.8,1994,-32.8,1893,7.7,1989
01-16,146,8.1,2020,-31.1,1940,5.3,2020,-32.2,1940,2.8,1975,-34.7,1940,12.1,2003
01-17,146,5.1,2020,-29.0,1940,4.5,2020,-32.5,1940,3.6,2020,-35.6,1940,19.0,1939
01-18,146,5.2,"1993, 2007",-23.3,1940,3.4,1993,-27.3,1940,2.0,1975,-32.1,1940,8.1,2008
01-19,146,5.0,2023,-22.3,2006,3.3,"1932, 2020",-26.0,2006,2.1,1932,-29.6,1940,10.1,2023
01-20,146,5.9,1898,-21.2,1933,3.3,1898,-26.1,1907,2.2,2020,-28.1,1942,8.5,1975
01-21,146,5.6,2020,-23.5,1985,4.5,2020,-26.5,1985,3.0,2020,-30.4,1942,11.1,1991
01-22,146,4.7,1999,-20.6,1933,2.8,1999,-25.6,1907,1.1,1957,-28.0,1907,11.9,1986
01-23,146,3.9,2002,-19.8,1933,2.4,2002,-24.4,1892,1.8,1894,-27.3,1892,6.7,1962
01-24,146,4.5,1904,-23.6,1892,2.4,1904,-29.5,1942,1.8,2024,-32.1,1942,18.6,1960
01-25,146,4.5,2021,-26.1,1892,3.4,2021,-28.4,1892,2.2,1971,-32.9,1892,10.1,1987
01-26,146,4.7,2025,-24.3,1924,3.7,2018,-27.6,1924,3.2,2018,-33.4,1892,9.3,1999
