month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
03-25,153,28.6,2008,5.7,1904,23.3,2008,0.1,1880,18.0,1899,-1.5,1997,38.4,1995
03-26,153,25.0,1899,5.8,1972,22.6,1899,1.7,1880,18.0,1899,-1.8,1963,37.4,1995
03-27,153,24.4,1947,4.2,1957,19.2,1947,0.8,1957,15.2,1983,-1.7,1997,31.7,1975
03-28,153,28.1,1947,4.3,1956,22.1,"1901, 1947",1.0,1956,16.4,1947,-1.6,1957,58.0,1887
03-29,153,30.0,1901,3.3,1956,25.7,1901,-0.1,1956,22.0,1901,-1.4,1956,42.2,2023
03-30,153,27.5,1901,4.1,1929,22.1,1940,0.5,1956,16.0,1901,-3.1,1956,84.0,1893
03-31,153,24.7,1940,4.2,1929,19.9,1876,0.7,1929,13.2,1952,-1.8,1929,52.0,1883
04-01,153,25.3,2013,4.4,1946,19.7,1876,1.5,1893,15.6,2013,-1.6,1929,45.6,1946
04-02,153,26.5,1947,4.7,1995,21.9,2022,2.7,"1893, 1995",17.1,2022,-1.0,1893,59.5,1887
04-03,153,31.7,2000,4.3,1931,22.4,1950,1.5,1931,17.3,1975,-2.5,1946,36.9,1944
04-04,153,28.0,1979,4.1,1965,22.6,1950,0.0,2004,18.1,1975,-5.0,2004,38.7,1981
04-05,153,25.8,1950,4.7,1944,18.9,1950,1.6,1965,16.1,2000,-2.3,1965,49.5,1884
04-06,153,26.4,1994,5.7,1981,21.2,1903,3.4,1965,15.6,"1903, 2012",0.4,1892,58.0,1884
04-07,153,26.6,1962,7.5,2011,22.9,1903,4.4,"1882, 1933, 1965",18.1,"1903, 1983",0.9,1965,69.0,1893
04-08,153,27.9,1962,7.3,1909,21.9,2013,3.5,"1882, 1926",17.8,2013,0.5,1933,32.3,1938
04-09,153,28.3,1975,6.3,1909,22.2,1975,4.2,1882,16.3,2016,0.3,1926,42.0,1892
04-10,153,24.9,1975,8.3,"1907, 1909, 1921",19.4,1998,3.6,1929,14.5,1970,1.1,1945,84.5,1892
04-11,153,26.2,1977,6.5,1997,21.3,"1959, 1977",3.1,1997,18.6,1977,0.3,1997,49.9,1949
04-12,153,31.6,1998,7.4,1932,24.5,1998,4.6,2025,20.4,1998,0.3,2025,53.0,1882
04-13,153,29.9,1998,6.5,1931,23.4,"1970, 1998",4.8,1931,18.1,1998,1.3,1939,32.2,1977
04-14,153,33.7,1915,7.4,1939,22.1,1951,4.6,1939,17.3,1986,1.3,1941,34.3,"1946, 1947"
04-15,153,26.7,1972,6.8,1929,22.2,1972,4.1,1880,19.0,1972,1.3,1939,59.0,1889
04-16,153,31.4,1957,7.0,1942,26.8,1957,3.1,1933,17.5,1957,0.2,1933,30.6,1924
04-17,153,31.1,1957,6.3,1980,22.5,1917,3.2,1980,17.7,2024,0.0,1980,56.5,1987
04-18,153,29.7,2022,6.1,1945,24.6,2024,2.8,1945,20.1,2024,1.0,1945,64.2,1945
