month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
10-09,78,19.1,1966,1.1,1959,13.8,1966,-0.8,1959,10.1,2013,-3.4,1978,40.3,2009
10-10,78,17.2,1974,0.5,1957,12.9,2001,-2.3,1957,11.5,2001,-5.3,1959,38.7,1983
10-11,78,17.6,2014,1.4,2002,14.1,2014,-1.3,1965,11.6,1955,-4.3,1957,16.5,1997
10-12,78,18.3,1955,0.3,1965,14.2,1955,-1.4,"1965, 1976",11.4,"1971, 1981",-3.9,1966,17.1,2001
10-13,78,18.9,1955,-1.4,1976,14.4,1955,-5.2,1992,12.3,1955,-7.6,1992,16.1,1960
10-14,78,18.4,2020,-1.4,1976,14.3,1993,-4.8,1976,11.5,1967,-8.0,1976,40.4,1997
10-15,78,19.7,1993,-1.0,1977,16.7,1993,-5.7,1976,14.7,1993,-11.0,1976,23.7,1972
10-16,78,18.4,1979,-0.9,1984,12.6,1974,-2.0,"1962, 1984",11.5,1991,-6.6,1977,25.0,1971
10-17,78,18.3,2019,-1.1,1976,13.1,2019,-2.5,1971,9.9,1979,-7.0,1962,17.0,1991
10-18,78,18.1,2018,-2.1,1976,13.3,1967,-4.0,1977,11.6,2019,-8.9,1977,22.0,1992
10-19,78,17.0,2018,0.2,1960,13.3,2018,-4.6,1976,9.7,2018,-8.6,1976,16.3,1991
10-20,78,17.4,1957,-4.2,1982,14.3,2019,-5.6,1982,11.0,2019,-7.3,1982,16.1,1952
10-21,78,17.6,2019,-0.3,1977,13.7,2019,-5.6,1976,9.8,2019,-8.9,1976,18.5,1998
10-22,78,15.2,1949,-1.9,2014,11.0,2021,-5.5,2014,9.1,1996,-9.7,1976,23.4,1986
10-23,78,15.9,1989,-6.0,2014,12.4,2019,-8.5,2014,9.1,"2006, 2008",-11.7,2014,20.2,1970
10-24,78,15.9,1989,-2.0,2014,11.8,2005,-8.6,1959,9.9,2006,-9.9,1959,20.6,1974
10-25,78,14.0,2006,-8.3,1959,12.6,2006,-9.6,1959,11.4,2006,-11.6,1959,11.2,1978
10-26,78,15.6,1954,-3.1,1960,11.0,1956,-6.0,1960,9.1,1956,-9.8,1959,19.6,1958
10-27,78,15.0,1949,-4.0,1960,12.6,2019,-8.6,1960,10.8,2019,-16.1,1960,16.9,1998
10-28,78,13.9,2019,-3.0,1992,11.4,2013,-6.7,1968,10.5,2013,-13.1,1968,38.9,2012
10-29,78,15.1,2013,-5.9,1979,11.7,2013,-7.2,1968,8.1,"2013, 2022",-15.1,1968,11.4,2002
10-30,78,14.5,1967,-6.5,1979,11.4,1967,-7.7,1979,8.7,1967,-9.1,1951,16.9,1962
10-31,78,13.9,1967,-7.6,1979,12.1,1967,-8.9,1979,10.7,1967,-13.4,1966,22.9,2017
11-01,78,15.8,2023,-8.3,1979,12.2,2023,-10.2,1979,8.3,2023,-13.0,1979,18.2,2024
11-02,78,13.9,2023,-9.5,1979,9.5,1968,-10.3,1979,8.5,1968,-11.8,1979,13.9,2023
11-03,78,11.0,2015,-5.2,1979,8.8,1967,-9.0,1960,7.7,2000,-14.3,1960,15.5,1998
11-04,78,11.0,2013,-5.8,1988,9.4,2013,-8.3,1970,8.2,2025,-11.8,1970,19.4,1952
11-05,78,12.9,2019,-6.5,1994,10.4,2019,-9.6,1994,8.7,2019,-13.3,1994,14.0,1969
11-06,78,16.2,2013,-3.7,1969,13.6,2013,-7.6,1997,10.0,2013,-12.4,1997,26.2,2012
11-07,78,15.0,2013,-6.6,1951,10.4,2013,-9.4,1951,8.7,2023,-10.6,1999,18.4,2016
11-08,78,10.8,2025,-6.3,1999,9.5,2025,-8.2,1999,8.3,2025,-12.6,1970,21.1,1979
11-09,78,12.3,2010,-6.7,1993,9.5,2010,-9.9,1993,5.8,2022,-14.4,1999,15.5,1995
11-10,78,14.4,2010,-10.1,1993,12.2,2010,-13.4,1993,8.4,2010,-16.0,1993,18.1,2006
11-11,78,14.5,2010,-10.8,1998,10.9,2010,-13.3,1998,7.9,2010,-15.0,1993,25.1,2016
11-12,78,12.3,2022,-11.9,1998,9.8,2022,-15.9,1951,8.2,2022,-21.1,1951,19.2,1997
11-13,78,11.8,2022,-9.1,1998,8.3,1977,-11.8,1998,5.8,2010,-15.1,1951,10.6,1983
11-14,78,8.6,1950,-12.7,1965,7.1,1950,-15.4,1965,5.8,2010,-16.6,1965,29.5,1967
11-15,78,12.4,2010,-11.9,1965,8.0,2010,-16.2,1965,7.1,1969,-20.3,1965,18.5,2025
11-16,78,10.4,2010,-12.2,1965,9.1,2010,-17.3,1951,8.0,2010,-20.8,1951,11.4,2001
11-17,78,10.8,1977,-12.2,1951,6.8,1977,-17.2,1951,4.8,1974,-21.6,1951,19.0,2000
11-18,78,10.1,2025,-13.7,1960,6.4,2002,-16.8,1960,3.7,2024,-21.5,1965,26.6,1977
11-19,78,10.2,1982,-13.2,1993,5.0,1978,-14.7,1993,3.3,1980,-20.4,1965,12.2,1982
11-20,78,10.7,1978,-12.2,1993,9.4,1978,-14.8,"1993, 1998",6.3,1978,-16.7,1993,15.2,2004
11-21,78,9.6,1963,-14.0,1998,7.5,2024,-16.6,1998,6.1,2024,-19.0,1993,12.9,2024
11-22,78,9.5,2024,-14.1,1987,7.6,1996,-16.9,1987,4.7,1996,-19.8,1987,8.6,2022
11-23,78,10.5,2008,-11.5,1964,5.2,1962,-13.8,1987,3.6,2009,-17.6,1987,16.7,1996
11-24,78,6.6,"1977, 2025",-11.7,1953,4.9,1980,-15.4,1953,3.7,2013,-17.9,1960,24.0,1977
11-25,78,9.5,1969,-13.7,1999,7.9,1969,-16.8,1999,6.1,1969,-19.8,1999,16.5,1975
11-26,78,9.4,1969,-12.9,1954,6.6,1969,-15.4,1989,4.5,1969,-19.9,1999,13.7,2013
11-27,78,9.4,1969,-14.4,1989,6.8,1969,-18.8,1959,5.4,"2006, 2009",-23.0,1959,20.0,1977
11-28,78,11.9,1969,-12.3,1989,9.7,1969,-16.9,1984,4.9,1969,-20.9,1984,8.3,1961
11-29,78,10.3,1969,-14.2,1984,5.3,1983,-19.4,1984,4.0,"1983, 2009",-23.3,1984,21.5,1983
11-30,78,7.8,2021,-16.1,1998,4.8,2006,-19.2,1998,4.4,2006,-21.1,1998,25.4,1952
12-01,78,6.0,2006,-19.4,2010,4.9,2006,-21.4,2010,4.4,2006,-23.6,2010,12.8,2017
12-02,78,9.0,2009,-15.3,2010,7.5,2009,-18.7,2010,4.4,2009,-21.5,2010,8.0,1967
12-03,78,9.0,2009,-14.2,1973,8.3,2009,-15.9,1973,7.7,2009,-18.8,1954,11.9,2023
12-04,78,8.0,2009,-12.3,1993,6.0,2008,-19.5,1959,4.2,"1953, 2008",-22.5,1959,13.9,2008
12-05,78,8.1,1953,-22.1,1959,6.7,2008,-26.2,1959,5.5,2008,-27.6,1959,15.1,1980
12-06,78,9.6,2008,-27.2,1959,8.0,2008,-29.0,1959,6.2,2008,-30.4,1959,14.7,1988
12-07,78,7.7,2006,-21.3,1959,6.5,2008,-26.8,1959,5.4,2006,-31.3,1959,12.7,1949
12-08,78,7.0,2008,-19.1,1959,4.6,2006,-22.4,1959,4.2,2006,-24.9,1959,15.0,1988
12-09,78,7.0,2006,-19.3,1955,6.2,2006,-28.1,1955,4.2,2006,-30.8,1955,11.4,1981
12-10,78,7.0,2006,-25.2,1955,5.6,2006,-27.8,1955,4.9,2006,-30.3,1955,13.1,2010
12-11,78,5.5,2006,-20.3,1959,4.5,2006,-23.7,1959,4.0,2006,-25.8,1968,17.4,1979
12-12,78,6.9,1982,-18.3,1955,4.4,2006,-19.6,1955,3.5,2006,-24.4,1959,22.6,2022
12-13,78,5.5,"1981, 1999",-19.3,1955,4.4,1999,-22.6,1955,2.7,1999,-25.8,1955,12.4,1976
12-14,78,4.5,1999,-14.2,2002,2.6,2006,-17.6,1997,1.8,2014,-23.3,1997,23.2,1981
12-15,78,9.2,2006,-23.2,1997,5.7,2006,-25.7,1997,3.6,2006,-27.3,1997,17.3,1966
12-16,78,6.3,2006,-21.0,1997,5.5,2006,-24.9,1997,4.5,2006,-28.8,1997,10.4,1966
12-17,78,8.2,2017,-24.0,1978,5.2,2017,-26.5,1978,2.1,2006,-28.4,1978,15.1,1993
12-18,78,5.6,2019,-20.8,1978,2.8,2019,-24.0,1978,0.8,"1956, 2013",-27.4,1978,19.7,2022
12-19,78,6.6,2019,-19.7,1994,4.7,2019,-23.2,1994,2.9,2019,-26.5,1994,8.8,2015
12-20,78,5.0,2015,-19.0,1962,3.9,2015,-21.2,1985,2.8,2015,-25.2,1955,13.8,1965
12-21,78,9.1,2015,-17.8,"1962, 1967",8.1,2015,-20.8,1967,4.5,2015,-23.9,1967,14.6,2005
12-22,78,8.0,2015,-19.1,1978,6.2,2015,-22.2,1978,4.9,2015,-25.4,1978,13.6,1971
12-23,78,6.2,2019,-20.5,1967,4.8,2015,-23.0,1967,3.5,2015,-25.1,1967,16.7,1965
12-24,78,9.2,2015,-19.4,1984,5.6,2015,-21.4,"1967, 2012",4.0,2015,-25.3,2012,13.7,1995
12-25,78,4.1,2015,-17.9,1996,2.1,2013,-21.3,1996,0.9,"1951, 1960, 2015",-23.8,1958,12.4,1977
12-26,78,3.6,"2011, 2015",-23.8,1958,2.3,2015,-27.0,1958,0.5,1960,-29.7,1958,10.0,2025
12-27,78,5.8,2011,-22.3,1958,3.3,2011,-25.8,1958,1.7,2017,-29.0,1958,10.9,1964
12-28,78,5.8,2011,-20.7,2002,2.1,1998,-23.6,2002,1.5,1997,-25.4,"1978, 2002",11.9,1981
12-29,78,3.7,2017,-25.2,1978,3.2,1998,-28.0,1978,2.7,1998,-29.5,1978,9.7,1977
12-30,78,4.2,2017,-29.4,1978,2.5,1994,-34.8,1978,1.1,2023,-37.2,1978,13.5,1988
12-31,78,3.9,1975,-30.3,1978,2.4,2013,-34.0,1978,1.7,2013,-38.0,1978,11.0,1970
